"Mês Ano";"Área de atuação (Função)";"Subfunção";"Órgão Superior";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"08 - Assistência social";"422 - Direitos individuais, coletivos e difusos";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"888.067,15";
"01/2025";"18 - Gestão ambiental";"542 - Controle ambiental";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"28.584,00";
"01/2025";"15 - Urbanismo";"451 - infra-estrutura urbana";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"349.214,83";
"01/2025";"11 - Trabalho";"333 - Empregabilidade";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"71.871,44";
"01/2025";"19 - Ciência e Tecnologia";"571 - Desenvolvimento científico";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"108.292,98";
"01/2025";"06 - Segurança pública";"182 - Defesa civil";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"165.110,00";
"01/2025";"10 - Saúde";"128 - Formação de recursos humanos";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"323.865,67";
"01/2025";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"0,00";
"01/2025";"14 - Direitos da cidadania";"122 - Administração geral";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"1.219.896,15";
"01/2025";"06 - Segurança pública";"122 - Administração geral";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"15.667,73";
"01/2025";"11 - Trabalho";"122 - Administração geral";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"34.297,04";
"01/2025";"19 - Ciência e Tecnologia";"122 - Administração geral";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"17.044,46";
"01/2025";"15 - Urbanismo";"665 - Normalização e qualidade";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"40.969,25";
"01/2025";"20 - Agricultura";"607 - Irrigação";"26000 - Ministério da Educação";"0,00";"0,00";"0,00";"712.410,00";
