"Mês Ano";"Área de atuação (Função)";"Subfunção";"Órgão Superior";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"12 - Educação";"128 - Formação de recursos humanos";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"9.642,60";
"01/2025";"26 - Transporte";"131 - Comunicação social";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"203.359,84";
"01/2025";"08 - Assistência social";"122 - Administração geral";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"31.372,06";
"01/2025";"24 - Comunicações";"122 - Administração geral";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"477.769,78";
"01/2025";"22 - Indústria";"122 - Administração geral";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"1.535,82";
"01/2025";"26 - Transporte";"846 - Outros encargos especiais";"39000 - Ministério dos Transportes";"94.217.394,00";"10.319.950,58";"0,00";"48.680,46";
"01/2025";"28 - Encargos especiais";"846 - Outros encargos especiais";"39000 - Ministério dos Transportes";"8.356.525,00";"1.372.537,96";"506,00";"1.305.700,12";
"01/2025";"26 - Transporte";"331 - Proteção e benefícios ao trabalhador";"39000 - Ministério dos Transportes";"67.402.022,15";"5.346.732,22";"13.718,46";"6.465.183,91";
"01/2025";"09 - Previdência social";"272 - Previdência do regime estatutário";"39000 - Ministério dos Transportes";"50.125.058,64";"22.466.917,67";"25.417,86";"18.344.910,54";
"01/2025";"26 - Transporte";"121 - Planejamento e orçamento";"39000 - Ministério dos Transportes";"1.832.692,00";"0,00";"0,00";"23.542.543,30";
"01/2025";"26 - Transporte";"783 - Transporte ferroviário";"39000 - Ministério dos Transportes";"1.147.121,91";"0,00";"0,00";"3.480.282,33";
"01/2025";"26 - Transporte";"784 - Transporte hidroviário";"39000 - Ministério dos Transportes";"0,00";"0,00";"0,00";"36.622.024,64";
"01/2025";"26 - Transporte";"125 - Normatização e fiscalização";"39000 - Ministério dos Transportes";"5.468.290,05";"150.708,67";"136.864,67";"4.701.402,54";
"01/2025";"26 - Transporte";"782 - Transporte rodoviário";"39000 - Ministério dos Transportes";"817.020.000,00";"0,00";"0,00";"890.422.590,29";
"01/2025";"26 - Transporte";"126 - Tecnologia da informação";"39000 - Ministério dos Transportes";"5.175.003,79";"0,00";"0,00";"7.882.812,37";
"01/2025";"26 - Transporte";"122 - Administração geral";"39000 - Ministério dos Transportes";"525.203.513,83";"84.167.312,91";"8.714.608,16";"113.171.415,93";
