"Mês Ano";"Área de atuação (Função)";"Subfunção";"Órgão Superior";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"10.526,59";
"01/2025";"04 - Administração";"124 - Controle interno";"33000 - Ministério da Previdência Social";"10.000,00";"0,00";"0,00";"0,00";
"01/2025";"04 - Administração";"122 - Administração geral";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"76.607,99";
"01/2025";"09 - Previdência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"6.221.545,68";
"01/2025";"08 - Assistência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"6.368.085,39";
"01/2025";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"1.550.000,00";"115.445,55";"0,00";"0,00";
"01/2025";"08 - Assistência social";"241 - Assistência ao idoso";"33000 - Ministério da Previdência Social";"11.643.912.620,00";"4.251.137.332,67";"2.046.715.214,68";"2.063.988.304,86";
"01/2025";"11 - Trabalho";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"221.841,19";
"01/2025";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"10.000.000,00";"9.581.875,78";"9.163.589,71";"3.371,07";
"01/2025";"09 - Previdência social";"124 - Controle interno";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"6.106,00";
"01/2025";"12 - Educação";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"77.596,05";
"01/2025";"09 - Previdência social";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"369.860.280,48";"62.734.351,78";"17.413,74";"0,00";
"01/2025";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"33000 - Ministério da Previdência Social";"15.866.747.300,00";"5.805.376.137,75";"2.752.069.736,51";"2.855.575.899,76";
"01/2025";"09 - Previdência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"30.000,00";"59.072,31";"3.201,85";"96.381,45";
"01/2025";"09 - Previdência social";"272 - Previdência do regime estatutário";"33000 - Ministério da Previdência Social";"1.769.600.077,00";"447.196.816,89";"140.000,63";"476.714.347,63";
"01/2025";"28 - Encargos especiais";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"1.485.581.026,40";"213.201.802,38";"116.701.492,33";"42.461.844,45";
"01/2025";"08 - Assistência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"662.400,00";"5.488,84";"5.488,84";"317.017,54";
"01/2025";"09 - Previdência social";"271 - Previdência básica";"33000 - Ministério da Previdência Social";"210.979.666.605,28";"74.059.856.212,49";"16.410.160.565,50";"55.385.337.149,88";
"01/2025";"09 - Previdência social";"128 - Formação de recursos humanos";"33000 - Ministério da Previdência Social";"33.000,00";"0,00";"0,00";"0,00";
"01/2025";"11 - Trabalho";"122 - Administração geral";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"851.546,45";
"01/2025";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"138.595.115,17";"35.881.236,44";"132.373,74";"38.065.330,70";
"01/2025";"09 - Previdência social";"122 - Administração geral";"33000 - Ministério da Previdência Social";"2.043.668.339,55";"422.859.737,92";"44.934.987,25";"432.895.376,02";
"02/2025";"11 - Trabalho";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"197.634,23";
"02/2025";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"0,00";"114.815,37";"115.445,55";"0,00";
"02/2025";"11 - Trabalho";"122 - Administração geral";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"340.077,69";
"02/2025";"09 - Previdência social";"128 - Formação de recursos humanos";"33000 - Ministério da Previdência Social";"5.376,00";"0,00";"0,00";"0,00";
"02/2025";"04 - Administração";"122 - Administração geral";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"20.818,82";
"02/2025";"04 - Administração";"573 - Difusão do conhecimento científico e tecnológico";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"1.499,92";
"02/2025";"10 - Saúde";"122 - Administração geral";"33000 - Ministério da Previdência Social";"14.797,35";"14.797,35";"0,00";"0,00";
"02/2025";"09 - Previdência social";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"60.000,00";"61.954.911,57";"62.890.809,14";"7.497,70";
"02/2025";"08 - Assistência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"2.502.500,00";"0,00";"0,00";"551.388,03";
"02/2025";"09 - Previdência social";"124 - Controle interno";"33000 - Ministério da Previdência Social";"185.100,00";"0,00";"0,00";"0,00";
"02/2025";"08 - Assistência social";"241 - Assistência ao idoso";"33000 - Ministério da Previdência Social";"1.600.000,00";"4.154.658.039,03";"4.189.880.189,67";"2.020,58";
"02/2025";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"33000 - Ministério da Previdência Social";"40.000,00";"5.752.418.938,11";"5.783.957.291,06";"27.928,07";
"02/2025";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"25.336.193,00";"11.842.429,31";"11.712.451,89";"0,00";
"02/2025";"28 - Encargos especiais";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"100.000,00";"238.521.141,89";"291.060.613,35";"32.929,97";
"02/2025";"08 - Assistência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"416.004,00";"87.633,43";"83.702,52";"15.000,23";
"02/2025";"09 - Previdência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"370.000,00";"191.235,35";"79.477,69";"109.664,15";
"02/2025";"09 - Previdência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"48.718.400,00";"0,00";"0,00";"2.677.356,04";
"02/2025";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"4.202.908,88";"30.852.303,53";"37.027.413,92";"1.271.744,76";
"02/2025";"09 - Previdência social";"271 - Previdência básica";"33000 - Ministério da Previdência Social";"2.017.713.724,60";"75.382.554.079,22";"74.509.990.596,06";"1.309.935.538,44";
"02/2025";"09 - Previdência social";"272 - Previdência do regime estatutário";"33000 - Ministério da Previdência Social";"0,00";"447.268.630,83";"447.137.336,72";"34.736,48";
"02/2025";"09 - Previdência social";"122 - Administração geral";"33000 - Ministério da Previdência Social";"157.625.236,92";"404.279.412,64";"440.592.885,74";"16.545.493,14";
"03/2025";"08 - Assistência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"0,00";"972.873,24";"421.364,41";"6.272.592,04";
"03/2025";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"0,00";"115.859,91";"114.815,37";"0,00";
"03/2025";"11 - Trabalho";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"1.637.586,75";"1.637.586,75";"1.637.586,75";"0,00";
"03/2025";"10 - Saúde";"122 - Administração geral";"33000 - Ministério da Previdência Social";"0,00";"0,00";"14.797,35";"0,00";
"03/2025";"04 - Administração";"124 - Controle interno";"33000 - Ministério da Previdência Social";"20.000,00";"10.000,00";"10.000,00";"0,00";
"03/2025";"09 - Previdência social";"128 - Formação de recursos humanos";"33000 - Ministério da Previdência Social";"19.652,00";"14.528,50";"14.528,50";"0,00";
"03/2025";"09 - Previdência social";"272 - Previdência do regime estatutário";"33000 - Ministério da Previdência Social";"2.000.000.000,00";"446.945.740,13";"447.287.196,11";"74.500,45";
"03/2025";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"4.663.806,00";"14.236.322,22";"13.770.292,54";"0,00";
"03/2025";"28 - Encargos especiais";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"216.002.433,95";"296.750.171,22";"289.432.073,32";"91.080,00";
"03/2025";"09 - Previdência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"42.475.066,00";"5.631.580,18";"2.439.112,70";"36.540.730,96";
"03/2025";"09 - Previdência social";"124 - Controle interno";"33000 - Ministério da Previdência Social";"558.475,00";"153.824,72";"144.053,85";"0,00";
"03/2025";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"33000 - Ministério da Previdência Social";"14.197.640.100,00";"5.700.007.423,04";"5.769.207.760,72";"0,00";
"03/2025";"09 - Previdência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"190.000,00";"179.504,58";"179.504,58";"0,00";
"03/2025";"08 - Assistência social";"241 - Assistência ao idoso";"33000 - Ministério da Previdência Social";"10.211.096.000,00";"4.115.216.631,64";"4.135.853.191,39";"0,00";
"03/2025";"09 - Previdência social";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"8.234,16";"62.174.904,19";"61.960.368,57";"0,00";
"03/2025";"08 - Assistência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"175.768,00";"395.777,65";"381.795,95";"768,00";
"03/2025";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"9.781.592,91";"45.691.518,18";"36.259.875,03";"47.765,46";
"03/2025";"09 - Previdência social";"271 - Previdência básica";"33000 - Ministério da Previdência Social";"164.828.607.893,52";"75.466.205.767,29";"75.575.214.700,20";"60.750.045,06";
"03/2025";"09 - Previdência social";"122 - Administração geral";"33000 - Ministério da Previdência Social";"83.857.285,10";"403.083.105,45";"422.156.957,50";"4.899.534,51";
"04/2025";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"0,00";"0,00";"0,00";"96.077,21";
"04/2025";"11 - Trabalho";"122 - Administração geral";"33000 - Ministério da Previdência Social";"1.323.214,25";"1.090.672,07";"1.090.672,07";"0,00";
"04/2025";"08 - Assistência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"40.320.345,00";"5.832.251,49";"5.832.612,57";"147.087,39";
"04/2025";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"5.840.923,00";"96.457,99";"115.859,91";"0,00";
"04/2025";"09 - Previdência social";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"200.002.899,34";"93.425.559,89";"62.369.815,21";"0,00";
"04/2025";"09 - Previdência social";"125 - Normatização e fiscalização";"33000 - Ministério da Previdência Social";"492.000,00";"172.541,75";"172.541,75";"0,00";
"04/2025";"08 - Assistência social";"241 - Assistência ao idoso";"33000 - Ministério da Previdência Social";"227.000,00";"4.275.671.307,43";"4.229.170.052,22";"0,00";
"04/2025";"08 - Assistência social";"242 - Assistência ao portador de deficiência";"33000 - Ministério da Previdência Social";"1.160.000,00";"5.923.107.971,60";"5.845.049.439,96";"0,00";
"04/2025";"04 - Administração";"124 - Controle interno";"33000 - Ministério da Previdência Social";"10.000,00";"10.000,00";"10.000,00";"0,00";
"04/2025";"09 - Previdência social";"128 - Formação de recursos humanos";"33000 - Ministério da Previdência Social";"1.340,00";"11.571,86";"11.340,37";"0,00";
"04/2025";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"33000 - Ministério da Previdência Social";"14.000.000,00";"10.928.573,73";"10.359.506,81";"0,00";
"04/2025";"28 - Encargos especiais";"846 - Outros encargos especiais";"33000 - Ministério da Previdência Social";"264.688.883,01";"364.663.494,10";"342.065.834,65";"0,00";
"04/2025";"09 - Previdência social";"126 - Tecnologia da informação";"33000 - Ministério da Previdência Social";"- 33.211.000,00";"36.207.250,53";"35.978.132,82";"851.431,06";
"04/2025";"09 - Previdência social";"272 - Previdência do regime estatutário";"33000 - Ministério da Previdência Social";"75.943.918,00";"580.826.614,08";"447.062.814,11";"82.630,40";
"04/2025";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"33000 - Ministério da Previdência Social";"37.445.680,30";"29.798.419,66";"40.369.674,83";"598.225,63";
