"Mês Ano";"Área de atuação (Função)";"Subfunção";"Órgão Superior";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"06 - Segurança pública";"181 - Policiamento";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"1.550.000,00";
"01/2025";"08 - Assistência social";"306 - Alimentação e nutrição";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"118.000,00";
"01/2025";"14 - Direitos da cidadania";"241 - Assistência ao idoso";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"300.000,00";
"01/2025";"21 - Organização agrária";"122 - Administração geral";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"28.732,51";
"01/2025";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"527.493,68";
"01/2025";"21 - Organização agrária";"606 - Extensão rural";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"170.000,00";
"01/2025";"10 - Saúde";"211 - Relações diplomáticas";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"2.817.556,79";
"01/2025";"10 - Saúde";"541 - Preservação e conservação ambiental";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"0,00";
"01/2025";"14 - Direitos da cidadania";"422 - Direitos individuais, coletivos e difusos";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"553.000,00";
"01/2025";"10 - Saúde";"846 - Outros encargos especiais";"36000 - Ministério da Saúde";"966.030.826,58";"76.901.983,76";"56.966,66";"35.621,48";
"01/2025";"12 - Educação";"364 - Ensino superior";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"45.929,47";
"01/2025";"10 - Saúde";"121 - Planejamento e orçamento";"36000 - Ministério da Saúde";"306.000,00";"5.503,62";"5.503,62";"15.850,74";
"01/2025";"12 - Educação";"128 - Formação de recursos humanos";"36000 - Ministério da Saúde";"3.848,10";"0,00";"0,00";"3.648,72";
"01/2025";"11 - Trabalho";"122 - Administração geral";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"23.178,87";
"01/2025";"04 - Administração";"183 - Informação e inteligência";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"17.819,08";
"01/2025";"04 - Administração";"122 - Administração geral";"36000 - Ministério da Saúde";"5.563,44";"0,00";"0,00";"10.332,97";
"01/2025";"10 - Saúde";"306 - Alimentação e nutrição";"36000 - Ministério da Saúde";"15.665,60";"15.665,60";"15.220,20";"0,00";
"01/2025";"24 - Comunicações";"122 - Administração geral";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"13.772,41";
"01/2025";"10 - Saúde";"131 - Comunicação social";"36000 - Ministério da Saúde";"23.805.544,72";"0,00";"0,00";"21.272.958,21";
"01/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"6.500.000,00";
"01/2025";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"36000 - Ministério da Saúde";"4.390.233,58";"4.387.357,50";"2.384.217,97";"313.956,76";
"01/2025";"10 - Saúde";"512 - Saneamento básico urbano";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"23.535.355,91";
"01/2025";"13 - Cultura";"122 - Administração geral";"36000 - Ministério da Saúde";"0,00";"0,00";"0,00";"141.000,00";
