"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Polícia Federal";"200336 - COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19111202 - MULTAS PREV.LEGISLACAO ANTIDROGAS-MUL.JUR.";"0,00";"24,01";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"200401 - FUNDO DE DEFESA DE DIREITOS DIFUSOS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19219903 - OUTRAS INDENIZACOES-DIVIDA ATIVA";"0,00";"39.878.883,98";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30912 - Fundo Nacional Antidrogas";"200246 - FUNDO NACIONAL ANTIDROGAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"204.444,43";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"200401 - FUNDO DE DEFESA DE DIREITOS DIFUSOS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19991612 - TERMO DE AJUSTAMENTO DE CONDUTA-TAC-MUL.JUR.";"0,00";"4,40";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Polícia Rodoviária Federal";"200278 - COORDENACAO DE ORCAMENTO E FINANCAS - PRF";"1 - Receitas Correntes";"17 - Transferências Correntes";"173 - Transferências dos Municípios e de suas Entidades";"17320101 - TRANSF.REC.ORG.UNIAO CONV.MUN./ENTID.-PRINC.";"0,00";"9.996.067,35";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"200401 - FUNDO DE DEFESA DE DIREITOS DIFUSOS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310601 - BENS,DIR.VAL.RENUNCIA VOLUNT.NAO PENAL-PRINC.";"0,00";"4.888.382,49";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30912 - Fundo Nacional Antidrogas";"200246 - FUNDO NACIONAL ANTIDROGAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19111202 - MULTAS PREV.LEGISLACAO ANTIDROGAS-MUL.JUR.";"0,00";"6,00";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110102 - MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR";"0,00";"1.762,30";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30912 - Fundo Nacional Antidrogas";"200246 - FUNDO NACIONAL ANTIDROGAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220631 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-PRINC.";"0,00";"5.224,97";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"86.625.132,83";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30907 - Fundo Penitenciário Nacional";"200333 - CGOF-COORD.GERAL DE ORC.FIN.PLA.CONT/SENAPPEN";"1 - Receitas Correntes";"13 - Receita Patrimonial";"139 - Demais receitas patrimoniais";"13910121 - PART.UNIAO EM RECEITA DE LOT.ESPORTIVA-PRINC.";"908.958,00";"0,00";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"1 - Receitas Correntes";"17 - Transferências Correntes";"173 - Transferências dos Municípios e de suas Entidades";"17320101 - TRANSF.REC.ORG.UNIAO CONV.MUN./ENTID.-PRINC.";"0,00";"1.360.801,13";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Polícia Federal";"200336 - COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310702 - BENS,DIR.VAL.PERD.UNIAO-LAV.OCUL.BENS-MUL.JUR";"0,00";"6.607,47";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"200401 - FUNDO DE DEFESA DE DIREITOS DIFUSOS";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"238.739.588,39";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30907 - Fundo Penitenciário Nacional";"200333 - CGOF-COORD.GERAL DE ORC.FIN.PLA.CONT/SENAPPEN";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"112 - Taxas";"11220201 - EMOLUMENTOS E CUSTAS JUDICIAIS-PRINCIPAL";"0,00";"2.016,29";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Polícia Rodoviária Federal";"200278 - COORDENACAO DE ORCAMENTO E FINANCAS - PRF";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110102 - MULTAS PREVISTAS EM LEGISL.ESPECIFICA-MUL.JUR";"4.179,00";"420,00";"10,05%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30905 - Fundo de Defesa de Direitos Difusos";"200401 - FUNDO DE DEFESA DE DIREITOS DIFUSOS";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"1 - Receitas Correntes";"17 - Transferências Correntes";"174 - Transferências de Instituições Privadas";"17410101 - TRANSF.REC.ORG.UNIAO CONV.INSTIT.PRIV.-PRINC.";"52.890.523,00";"6.909.189,39";"13,06%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200094 - COORDENACAO-GERAL DE ORCAMENTO E FINANCAS-MJ";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"112 - Taxas";"11210102 - TAXAS INSPECAO,CONTROLE E FISCALIZ.-MUL.JUR.";"0,00";"504,39";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30911 - Fundo Nacional de Segurança Pública";"200331 - FUNDO NACIONAL DE SEGURANCA PUBLICA - FNSP";"1 - Receitas Correntes";"17 - Transferências Correntes";"171 - Transferências da União e de suas Entidades";"17179901 - OUTRAS TRANSF.CONV.UNIAO E SUAS ENTID.-PRINC.";"0,00";"29,87";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30907 - Fundo Penitenciário Nacional";"200333 - CGOF-COORD.GERAL DE ORC.FIN.PLA.CONT/SENAPPEN";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"70.728.791,46";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Polícia Federal";"200336 - COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"95.942.014,18";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Polícia Rodoviária Federal";"200278 - COORDENACAO DE ORCAMENTO E FINANCAS - PRF";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210111 - REMUNERACAO DE DEP.BANCARIOS-GERAL-PRINC.";"0,00";"221.082,36";"0,00%";"0,00";
"2025";"30000 - Ministério da Justiça e Segurança Pública";"30912 - Fundo Nacional Antidrogas";"200246 - FUNDO NACIONAL ANTIDROGAS";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13210101 - REMUNERACAO DE DEPOSITOS BANCARIOS-PRINCIPAL";"93.551.293,00";"0,00";"0,00%";"0,00";
